,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,is_outdoor,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,service_id,ride.id,ride.is_archived,ride.title,ride.scheduled_start_time,ride.duration,ride.instructor.name,ride.instructor.image_url
10,1668268111,home_bike_v1,1668269371,cycling,True,True,9adef4bfd34c4a80bc3e30a7cbdab3cc,False,False,cycling,Cycling Workout,89e1288f88c542edb4e576d05494a7dc,home_bike,1668268172,COMPLETE,Etc/GMT+5,,94568.91,c79c34efae2c4669a07c935df1aeb988,class,0,0,1390.0,0.0,,,1668268111,1668250111,,,,,,,,,,,
11,1668087850,home_bike_v1,1668089110,cycling,True,True,a15da1c8e1314d0c96f0952e7f64b551,False,False,cycling,Cycling Workout,31dc5e0c64b64ebf88adf5f5eb681e9a,home_bike,1668087912,COMPLETE,Etc/GMT+5,,99511.9,c79c34efae2c4669a07c935df1aeb988,class,0,0,1320.0,0.0,,,1668087850,1668069850,,,,,,,,,,,
12,1668034930,home_bike_v1,1668036190,cycling,True,True,76c69d2f23b14f5e8416525968cc69c4,False,False,cycling,Cycling Workout,fef75de15fca463189b6345f6e58cb90,home_bike,1668034992,COMPLETE,Etc/GMT+5,,95709.37,c79c34efae2c4669a07c935df1aeb988,class,0,0,1350.0,0.0,,,1668034930,1668016930,,,,,,,,,,,
13,1667845310,home_bike_v1,1667846570,cycling,True,True,2b8f858d2828411587217c30f7fe82de,False,False,cycling,Cycling Workout,6211f700684147d69b0ef4faa7820c8c,home_bike,1667845371,COMPLETE,Etc/GMT+5,,105113.79,c79c34efae2c4669a07c935df1aeb988,class,0,0,1364.0,0.0,,,1667845310,1667827310,,,,,,,,,,,
14,1667746884,home_bike_v1,1667748144,cycling,True,True,292dc43a37974af09bbd6799295f7b6c,True,False,cycling,Cycling Workout,f3e84dc68ecf44c8b1030139ced716a5,home_bike,1667746945,COMPLETE,Etc/GMT+5,,133580.09,c79c34efae2c4669a07c935df1aeb988,class,0,0,1350.0,0.0,,,1667746884,1667728884,,,,,,,,,,,
15,1667687051,home_bike_v1,1667688268,cycling,True,True,a14db5e9c24c44878d7a71f95aa6097b,False,False,cycling,Cycling Workout,a9429dc4d67a47a8a80ea71e8c7870aa,home_bike,1667687069,COMPLETE,Etc/GMT+4,,79675.8,c79c34efae2c4669a07c935df1aeb988,class,0,0,1319.0,1.0,,,1667687051,1667672651,,,,,,,,,,,
16,1667297449,home_bike_v1,1667298709,cycling,True,True,6dbee24f4c34425babbe497923fb6514,False,False,cycling,Cycling Workout,c07ea494447745ff81e7583462fbfc3e,home_bike,1667297510,COMPLETE,Etc/GMT+4,,109026.84,c79c34efae2c4669a07c935df1aeb988,class,0,0,1379.0,1.0,,,1667297449,1667283049,,,,,,,,,,,
17,1667227193,home_bike_v1,1667228452,cycling,True,True,538e9ed0a2b1408a9e93f9bbd5f235c7,False,False,cycling,Cycling Workout,bf36684e79e148b0a457f4657657c37f,home_bike,1667227255,COMPLETE,Etc/GMT+4,,98374.26,c79c34efae2c4669a07c935df1aeb988,class,0,0,1348.0,0.0,,,1667227193,1667212793,,,,,,,,,,,
18,1666742302,home_bike_v1,1666743561,cycling,True,True,9369316f983f4775bb6ed5eb8fdaac25,False,False,cycling,Cycling Workout,47188db03cf343a0b81b8ae3e7bed438,home_bike,1666742364,COMPLETE,Etc/GMT+4,,112480.35,c79c34efae2c4669a07c935df1aeb988,class,0,0,1320.0,0.0,,,1666742302,1666727902,,,,,,,,,,,
19,1664729924,home_bike_v1,1664731183,cycling,True,True,dda6d1cdeec846acac2a0144097f02b9,False,False,cycling,Cycling Workout,17b73724d64446b5a0d3e1f57751c7fd,home_bike,1664729986,COMPLETE,Etc/GMT+4,,102128.48,c79c34efae2c4669a07c935df1aeb988,class,0,0,1320.0,0.0,,,1664729924,1664715524,,,,,,,,,,,
